atoll,lon,lat,total_atoll_area_sqkm,channel_width,IME_chl,oceanic_chl_mean
Ahe,-146.303139,-14.481427,174.08,0.42,17.41335038,0.085477224
Ahunui,-140.409085,-19.635559,27.14,0,5.086479291,0.044271414
Amanu,-140.760561,-17.803631,245.29,0.35,10.9137207,0.060339757
Anaa,-145.491521,-17.411995,172.89,0,51.05118956,0.052822262
Anuanuraro,-143.536271,-20.43581,14.76,0,1.567617581,0.04156655
Anuanurunga,-143.285554,-20.61491,6.8,0,6.525700288,0.040868314
Apataki,-146.3235446,-15.43104484,748.49,0.61,88.09024457,0.071086474
Aratika,-145.5369743,-15.52726152,180.17,0.18,23.83134948,0.07402983
Arutua,-146.750388,-15.309436,583.48,0.15,496.6237586,0.072317735
Faaite,-145.238775,-16.747087,269.53,0.28,125.2195804,0.057228157
Fakahina,-140.132225,-15.983587,34.67,0,3.683243846,0.078041137
Fakarava,-145.618737,-16.29782,1248.17,2,253.9459497,0.06263271
Fangatau,-140.860641,-15.824698,21.62,0,3.684506756,0.079101884
Fangataufa,-138.738269,-22.233919,49.74,0.16,28.40541709,0.036762211
Hao,-140.900387,-18.216119,570.04,0.35,24.97987973,0.056103628
Haraiki,-143.448754,-17.46663,24.74,0.28,85.00121735,0.05338945
Hereheretui,-144.956823,-19.870747,43.75,0,72.43716458,0.044529368
Hikueru,-142.614642,-17.587197,105.96,0,72.6181074,0.056075648
Kauehi,-145.151543,-15.877592,340.97,0.34,34.94723859,0.072303799
Kaukura,-146.694648,-15.751857,546.5,0,209.8786104,0.065009899
Makemo,-143.676254,-16.619201,715.83,0.6,55.43717531,0.067069691
Manihi,-145.942945,-14.404604,195.29,0.1,15.25722774,0.086848072
Manuhangi,-141.243337,-19.200806,13.83,0,2.147912787,0.046018694
Maria,-154.704756,-21.808002,9.95,0,6.527097841,0.038767371
Maria_Est,-136.189529,-22.014394,13.22,0,2.307184643,0.037130925
Marokau,-142.273272,-18.058467,255.87,0,83.79439759,0.052775755
Marutea_Nord,-143.156325,-17.022149,524.8,0,113.1433738,0.061376196
Marutea_Sud,-135.564322,-21.516759,137.19,0,5.835635737,0.038755156
Mataiva,-148.674438,-14.883573,47.33,0.08,20.57591746,0.072784866
Maupihaa,-153.955902,-16.812132,49.4,0.04,84.06144536,0.050408657
Morane,-137.132881,-23.156714,16.91,0,5.277845478,0.034724354
Moruroa,-138.891073,-21.830071,164.04,4.6,62.39063569,0.037607428
Motu_One,-154.525876,-15.815278,12.09,0,3.113937765,0.054495394
Motutunga,-144.364729,-17.102318,153.86,0.12,72.34788282,0.056069417
Napuka,-141.225568,-14.171104,38.49,0,29.66768857,0.100363363
Nengonengo,-141.806635,-18.752558,87.5,0.13,44.73188371,0.047576001
Niau,-146.353431,-16.155048,57.09,0,37.55935941,0.061662101
Nihiru,-142.8362931,-16.67840855,100.27,0,18.07666811,0.068367398
Nukutepipi,-143.053883,-20.699818,5.44,0,13.06287319,0.040483511
Oeno,-130.736862,-23.925529,12.05,0,54.48846597,0.032271253
Paraoa,-140.68958,-19.133942,23.29,0,15.58288897,0.047353366
Pinaki,-138.676053,-19.395455,3.45,0,2.903374237,0.047333787
Pukarua,-137.019211,-18.314668,50.27,0,3.869680952,0.058457298
Rangiroa,-147.605375,-15.140215,1755.75,0.69,102.3995485,0.07281214
Raraka,-144.8841582,-16.16598345,398.96,0.33,38.43298654,0.070442088
Raroia,-142.426489,-16.080973,413.63,0.55,36.43131956,0.075935817
Ravahere,-142.149254,-18.231188,71.65,0,28.92869245,0.051500502
Reao,-136.375566,-18.513781,71.48,0,3.793671589,0.057555135
Reitoru,-143.075336,-17.857794,13.7,0,46.25381,0.051935496
Rekareka,-141.922427,-16.833806,5.09,0,1.061225612,0.068216893
Scilly,-154.6841371,-16.53922592,114.53,0,154.8874009,0.049494022
Taenga,-143.139191,-16.35423514,197.79,0.09,13.31807232,0.072342532
Tahanea,-144.753958,-16.872327,630.84,1.03,119.5238241,0.05789719
Taiaro,-144.6322,-15.74444,17.14,0,7.558631571,0.076541708
Takapoto,-145.202136,-14.62579,102.43,0,28.53442742,0.085294969
Takaroa,-144.967704,-14.453773,116.73,0.07,12.25766807,0.086876914
Takume,-142.2035946,-15.79234379,69.4,0,25.21711099,0.078651013
Tatakoto,-138.395163,-17.340597,39.75,0,3.583571088,0.067604984
Tauere,-141.506806,-17.377702,17.26,0,5.558383965,0.063177404
Tekokota,-142.573083,-17.31267,6.88,1.31,10.14223045,0.059637744
Temitangi,-140.629789,-21.676849,77.15,0,10.56134984,0.038014813
Temoe,-134.480205,-23.342557,20.68,0,19.33920234,0.034643017
Tepoto,-144.280951,-16.821671,5.94,0.02,30.84875055,0.060813462
Tetiaroa,-149.562241,-17.006758,33.76,0,81.14987524,0.061132875
Tikehau,-148.172735,-15.004578,450.95,0.24,49.24119516,0.072804239
Toau,-146.036527,-15.895089,653.57,1.49,132.5675381,0.065974313
Tupai,-151.817817,-16.260175,29.57,0,118.52268,0.060394165
Tureia,-138.5387237,-20.81976866,73.28,0,10.0307798,0.040572946
Vahitahi,-138.820812,-18.772722,18.62,0,6.099501666,0.052416842
Vairaatea,-139.221886,-19.349113,21.12,0,18.40968552,0.04742804
Vanavana,-139.140732,-20.780169,6.69,0,5.109131386,0.040522877
